N,Nombre del Negocio,Categoria,Direccion,Instagram,WhatsApp_Telefono,Link_contacto,Calificacion,Motivo_calificacion,Mensaje_Instagram,Mensaje_WhatsApp,Estado_lead,Fecha_contacto,Notas
143,Pasto Home,Decoracion,"Diego Palma 1195, San Isidro",@pasto_home,+5491154074352,https://instagram.com/pasto_home,Media,"Tienda de muebles y deco hogar con showroom. 9K seguidores en Instagram. San Isidro.","Hola! Vi Pasto Home en San Isidro y me gustó mucho la propuesta de deco. Nosotros hacemos kits de huerta urbana que quedan muy bien en espacios de diseño. Pensé que podría complementar lo que ya tienen. ¿Les cuento?","Hola! Vi Pasto Home en San Isidro y me gustó mucho la propuesta de deco. Nosotros hacemos kits de huerta urbana que quedan muy bien en espacios de diseño. Pensé que podría complementar lo que ya tienen. ¿Les cuento?",Nuevo,,
144,Open House Deco,Decoracion,"Dardo Rocha 2894, San Isidro",-,+5491133222666,https://wa.me/5491133222666,Media,"Tienda de muebles y diseño en San Isidro.","Hola! Vi que tienen Open House Deco en San Isidro con propuesta de muebles y diseño muy interesante. Nosotros hacemos kits de huerta urbana hidropónica que estéticamente quedan muy bien en ese tipo de espacio. ¿Les cuento?","Hola! Vi que tienen Open House Deco en San Isidro con propuesta de muebles y diseño muy interesante. Nosotros hacemos kits de huerta urbana hidropónica que estéticamente quedan muy bien en ese tipo de espacio. ¿Les cuento?",Nuevo,,
145,Citrino Bazar & Deco,Bazar,San Isidro,@bazarcitrino,-,https://instagram.com/bazarcitrino,Media,"Bazar y deco con casi 4K seguidores. Objetos originales para el hogar. San Isidro.","Hola! Vi Citrino en San Isidro y me copó mucho la propuesta de bazar y objetos originales. Nosotros hacemos kits de huerta urbana y creo que van muy bien con esa estética. ¿Les cuento?","Hola! Vi Citrino en San Isidro y me copó mucho la propuesta de bazar y objetos originales. Nosotros hacemos kits de huerta urbana y creo que van muy bien con esa estética. ¿Les cuento?",Nuevo,,
146,Dietética El Patriarca,Dietetica,"Av. Centenario 102, San Isidro",-,-,https://green-life.com.ar/tienda-naturista/dietetica-online-el-patriarca/,Media,"Dietética con productos orgánicos y veganos en San Isidro.","Hola! Vi la dietética El Patriarca en San Isidro y qué buena propuesta de productos naturales. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría complementar muy bien lo que ya ofrecen. ¿Les cuento?","Hola! Vi la dietética El Patriarca en San Isidro y qué buena propuesta de productos naturales. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría complementar muy bien lo que ya ofrecen. ¿Les cuento?",Nuevo,,
147,Sociedad Natural Dietética,Dietetica,"Andrés Rolón 401, San Isidro",-,-,-,Media,"Dietética nutricional con foco en orgánicos y alta calidad. San Isidro.","Hola! Vi Sociedad Natural en San Isidro y me gustó mucho el enfoque de productos orgánicos. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que va muy en línea con lo que trabajan. ¿Les cuento?","Hola! Vi Sociedad Natural en San Isidro y me gustó mucho el enfoque de productos orgánicos. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que va muy en línea con lo que trabajan. ¿Les cuento?",Nuevo,,
148,Sugerencias Naturales Dietética,Dietetica,"Av. Tomás Márquez 1238, Pilar",-,-,-,Media,"Dietética con gran variedad en Pilar. Buenos precios y buena atención.","Hola! Vi la dietética Sugerencias Naturales en Pilar y me pareció muy interesante la propuesta. Nosotros hacemos kits de huerta urbana hidropónica y creemos que podría ser un producto interesante para su clientela. ¿Les cuento?","Hola! Vi la dietética Sugerencias Naturales en Pilar y me pareció muy interesante la propuesta. Nosotros hacemos kits de huerta urbana hidropónica y creemos que podría ser un producto interesante para su clientela. ¿Les cuento?",Nuevo,,
149,Alimente Dietética,Dietetica,Pilar,-,-,-,Media,"Dietética en Pilar con tienda física y online con delivery.","Hola! Vi Alimente en Pilar y me pareció muy interesante la propuesta de productos naturales. Nosotros hacemos kits de huerta urbana hidropónica y creo que va muy en línea con lo que hacen. ¿Les cuento?","Hola! Vi Alimente en Pilar y me pareció muy interesante la propuesta de productos naturales. Nosotros hacemos kits de huerta urbana hidropónica y creo que va muy en línea con lo que hacen. ¿Les cuento?",Nuevo,,
150,Dietética El Higo Seco Campana,Dietetica,"9 de Julio 857, Campana",-,-,https://green-life.com.ar/tienda-naturista/dietetica-el-higo-seco/,Media,"Dietética en Campana con sucursal también en Escobar. Foco en celíacos y veganos.","Hola! Vi El Higo Seco en Campana y qué buena propuesta tienen. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría ir muy bien con el enfoque natural de la dietética. ¿Les cuento?","Hola! Vi El Higo Seco en Campana y qué buena propuesta tienen. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría ir muy bien con el enfoque natural de la dietética. ¿Les cuento?",Nuevo,,
151,LA Ferretería San Isidro,Ferreteria,"Av. Sucre 2524, Béccar, San Isidro",-,-,-,Media,"Ferretería en Béccar con materiales de construcción y jardín.","Hola! Vi la ferretería en Béccar. Nosotros hacemos kits de huerta urbana hidropónica y pensé que para la clientela que compra materiales de jardín podría ser un complemento interesante. ¿Les cuento?","Hola! Vi la ferretería en Béccar. Nosotros hacemos kits de huerta urbana hidropónica y pensé que para la clientela que compra materiales de jardín podría ser un complemento interesante. ¿Les cuento?",Nuevo,,
152,Ferretería Rolón Boulogne,Ferreteria,"Dr. Raúl Scalabrini Ortiz, Boulogne Sur Mer, San Isidro",-,-,-,Media,"Ferretería referente en Boulogne. Amplio inventario para profesionales y DIY.","Hola! Vi la ferretería Rolón en Boulogne. Nosotros hacemos kits de huerta urbana y pensé que para los clientes que buscan materiales de jardín podría ser una opción interesante para tener en el local. ¿Les cuento?","Hola! Vi la ferretería Rolón en Boulogne. Nosotros hacemos kits de huerta urbana y pensé que para los clientes que buscan materiales de jardín podría ser una opción interesante para tener en el local. ¿Les cuento?",Nuevo,,
153,Corralón SOSA,Corralon,"Chile 1980, Pilar",-,+5491124928350,https://wa.me/5491124928350,Media,"Corralón con delivery en Pilar. Amplia variedad de materiales.","Hola! Vi que tienen el corralón en Pilar con servicio de entrega. Nosotros hacemos kits de huerta urbana hidropónica y pensé que podría ser un producto complementario interesante para su clientela. ¿Los molesto un segundo con la propuesta?","Hola! Vi que tienen el corralón en Pilar con servicio de entrega. Nosotros hacemos kits de huerta urbana hidropónica y pensé que podría ser un producto complementario interesante para su clientela. ¿Los molesto un segundo con la propuesta?",Nuevo,,
154,Ferretería Abrafer,Ferreteria,"Ruta 8 KM 49, Pilar",-,+5491160524610,https://wa.me/5491160524610,Baja,"Ferretería grande sobre Ruta 8 en Pilar. Posible sección jardín.","Hola! Vi Abrafer en Ruta 8 Pilar. Gran propuesta de ferretería. Nosotros hacemos kits de huerta urbana y para los clientes que llevan materiales para jardín puede ser un complemento interesante. ¿Les cuento?","Hola! Vi Abrafer en Ruta 8 Pilar. Gran propuesta de ferretería. Nosotros hacemos kits de huerta urbana y para los clientes que llevan materiales para jardín puede ser un complemento interesante. ¿Les cuento?",Nuevo,,
155,Ultra Ferretería Pilar,Ferreteria,"Dr. Jose Penna 421, Pilar Centro",-,-,-,Baja,"Ferretería en centro de Pilar. Posible sección jardín.","Hola! Vi la ferretería en el centro de Pilar. Nosotros hacemos kits de huerta urbana y para los clientes que buscan materiales para jardín puede ser muy interesante. ¿Les cuento?","Hola! Vi la ferretería en el centro de Pilar. Nosotros hacemos kits de huerta urbana y para los clientes que buscan materiales para jardín puede ser muy interesante. ¿Les cuento?",Nuevo,,
156,Bazar San Isidro,Bazar,San Isidro,@bazar_san_isidro,-,https://instagram.com/bazar_san_isidro,Media,"Bazar online con Instagram activo en San Isidro.","Hola! Vi el Bazar San Isidro y me gustó la propuesta que tienen. Nosotros hacemos kits de huerta urbana hidropónica y pensé que podría ser un producto diferente y original para sumar. ¿Les cuento?","Hola! Vi el Bazar San Isidro y me gustó la propuesta que tienen. Nosotros hacemos kits de huerta urbana hidropónica y pensé que podría ser un producto diferente y original para sumar. ¿Les cuento?",Nuevo,,
